Name,Rating Average,Complexity Average
Gloomhaven,8.79,3.86
Pandemic Legacy: Season 1,8.61,2.84
Brass: Birmingham,8.66,3.91
Terraforming Mars,8.43,3.24
Twilight Imperium: Fourth Edition,8.70,4.22
Gloomhaven: Jaws of the Lion,8.87,3.55
Through the Ages: A New Story of Civilization,8.43,4.41
Gaia Project,8.49,4.35
Star Wars: Rebellion,8.42,3.71
Twilight Struggle,8.29,3.59
Great Western Trail,8.30,3.71
War of the Ring: Second Edition,8.49,4.14
Spirit Island,8.35,4.01
Scythe,8.24,3.41
The Castles of Burgundy,8.13,3.00
Terra Mystica,8.14,3.96
7 Wonders Duel,8.11,2.23
Concordia,8.12,3.03
Brass: Lancashire,8.17,3.86
Wingspan,8.11,2.42
A Feast for Odin,8.20,3.84
Arkham Horror: The Card Game,8.17,3.44
Viticulture Essential Edition,8.08,2.91
Nemesis,8.40,3.35
Orléans,8.09,3.05
Mage Knight Board Game,8.10,4.31
Root,8.10,3.67
Puerto Rico,7.99,3.28
Food Chain Magnate,8.14,4.20
Caverna: The Cave Farmers,8.02,3.79
Agricola,7.94,3.64
Blood Rage,8.00,2.88
Mansions of Madness: Second Edition,8.06,2.69
The 7th Continent,8.15,2.87
Pandemic Legacy: Season 2,8.15,3.25
Everdell,8.08,2.81
Maracaibo,8.29,3.87
Kingdom Death: Monster,8.66,4.25
Power Grid,7.86,3.27
Tzolk'in: The Mayan Calendar,7.90,3.67
The Crew: The Quest for Planet Nine,8.02,1.99
Mechs vs. Minions,8.05,2.41
Underwater Cities,8.13,3.58
Star Wars: Imperial Assault,8.02,3.30
Clans of Caledonia,8.01,3.46
Anachrony,8.10,4.00
Le Havre,7.87,3.74
Too Many Bones,8.45,3.85
Through the Ages: A Story of Civilization,7.93,4.17
Azul,7.83,1.77
Marvel Champions: The Card Game,8.20,2.80
Eclipse,7.89,3.70
Clank! Legacy: Acquisitions Incorporated,8.79,2.70
Android: Netrunner,7.87,3.38
Robinson Crusoe: Adventures on the Cursed Island,7.84,3.78
The Voyages of Marco Polo,7.87,3.19
The Gallerist,8.04,4.28
Barrage,8.22,4.02
Race for the Galaxy,7.76,2.98
Fields of Arle,8.09,3.88
7 Wonders,7.75,2.33
Teotihuacan: City of Gods,7.95,3.77
Clank!: A Deck-Building Adventure,7.81,2.21
The Quacks of Quedlinburg,7.82,1.94
Crokinole,7.91,1.25
Five Tribes,7.78,2.86
Dominant Species,7.85,4.04
On Mars,8.30,4.63
Lisboa,8.18,4.57
Aeon's End,8.02,2.76
Lords of Waterdeep,7.75,2.46
Paladins of the West Kingdom,8.07,3.67
Keyflower,7.80,3.35
Agricola (Revised Edition),8.04,3.50
Pax Pamir: Second Edition,8.43,3.75
Tainted Grail: The Fall of Avalon,8.41,3.28
Caylus,7.77,3.80
Architects of the West Kingdom,7.83,2.77
El Grande,7.75,3.05
Twilight Imperium: Third Edition,7.84,4.25
Battlestar Galactica: The Board Game,7.74,3.24
Eldritch Horror,7.81,3.32
Troyes,7.76,3.46
Rising Sun,7.88,3.28
Dominion: Intrigue,7.72,2.42
Mombasa,7.88,3.90
Grand Austria Hotel,7.85,3.22
The Lord of the Rings: Journeys in Middle-Earth,8.08,2.57
Patchwork,7.66,1.64
Raiders of the North Sea,7.79,2.53
Russian Railroads,7.77,3.41
Tigris & Euphrates,7.70,3.51
Codenames,7.62,1.29
Roll for the Galaxy,7.67,2.77
Trajan,7.76,3.65
Lorenzo il Magnifico,7.89,3.28
